NC County Name, TaxRate
Alamance County,.0675
Alexander County,.07
Alleghany County,.0675
Anson County,.07
Ashe County,.07
Avery County,.0675
Beaufort County,.0675
Bertie County,.07
Bladen County,.0675
Brunswick County,.0675
Buncombe County,.07
Burke County,.0675
Cabarrus County,.07
Caldwell County,.0675
Camden County,.0675
Carteret County,.07
Caswell County,.0675
Catawba County,.07
Chatham County,.07
Cherokee County,.07
Chowan County,.0675
Clay County,.07
Cleveland County,.0675
Columbus County,.0675
Craven County,.0675
Cumberland County,.07
Currituck County,.0675
Dare County,.0675
Davidson County,.07
Davie County,.0675
Duplin County,.07
Durham County,.075
Edgecombe County,.07
Forsyth County,.07
Franklin County,.0675
Gaston County,.07
Gates County,.0675
Graham County,.07
Granville County,.0675
Greene County,.07
Guilford County,.0675
Halifax County,.07
Harnett County,.07
Haywood County,.07
Henderson County,.0675
Hertford County,.07
Hoke County,.0675
Hyde County,.0675
Iredell County,.0675
Jackson County,.07
Johnston County,.0675
Jones County,.07
Lee County,.07
Lenoir County,.07
Lincoln County,.07
Macon County,.0675
Madison County,.07
Martin County,.07
Mcdowell County,.0675
Mecklenburg County,.0725
Mitchell County,.0675
Montgomery County,.07
Moore County,.07
Nash County,.07
New Hanover County,.07
Northampton County,.0675
Onslow County,.07
Orange County,.075
Pamlico County,.0675
Pasquotank County,.07
Pender County,.0675
Perquimans County,.0675
Person County,.075
Pitt County,.07
Polk County,.0675
Randolph County,.07
Richmond County,.0675
Robeson County,.07
Rockingham County,.07
Rowan County,.07
Rutherford County,.07
Sampson County,.07
Scotland County,.0675
Stanly County,.07
Stokes County,.0675
Surry County,.07
Swain County,.07
Transylvania County,.0675
Tyrrell County,.0675
Union County,.0675
Vance County,.0675
Wake County,.0725
Warren County,.07
Washington County,.0675
Watauga County,.0675
Wayne County,.0675
Wilkes County,.07
Wilson County,.07
Yadkin County,.0675
Yancey County,.0675 
